question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,correct_answer
"Assume that the solar flux at Earth's surface is 1,000 W/m^2 and that the sunlight is normal to a completely reflecting surface with an area of 3 m^2. What is the total radiation force in Newtons exerted on the surface?",0.911648,1.123824,2.248691,0.000020,3.902200,0.546222,1.605649,4.987834,3.990682,0.454248,0.000020
"An astronaut lands on a planet whose mass and radius are each twice that of Earth. If the astronaut weighs 800 N on Earth, how much will he weigh in Newtons on this planet?",1801.011,53.371,2218.004,448.027,2178.533,400.000,2365.299,442.049,1382.437,178.501,400.000
"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength in nanometers is:",592.660,388.696,477.874,677.478,477.706,471.590,705.840,600.000,459.349,675.168,600.000
"Light from a laser falls on a pair of very narrow slits separated by 0.5 micrometer, and bright fringes separated by 1.0 millimeter are observed on a distant screen. If the frequency of the laser light is doubled, what will be the separation of the bright fringes in millimeters?",2.054,2.629,0.529,0.024,2.857,2.912,1.104,0.500,2.390,2.090,0.500
"A gas cell with an optical path length of 10 cm is placed in one arm of a Michelson interferometer. If the light source for the interferometer is a laser with wavelength 632.2 nm, then 100 fringes are counted as the gas cell is evacuated. What is the index of refraction of the original gas?",0.99956,1.00092,1.00135,1.00072,0.99902,1.00032,0.99944,1.00108,0.99951,0.99974,1.00032
"Under certain conditions, a beam of electrons impinging on a crystal surface will diffract and a scattering pattern of the beam can be obtained. Assume the lattice spacing of the crystal to be 0.4 nm. What is the approximate kinetic energy of the electrons in electron-volts needed in order to see the pattern?",10.440,2.411,92.876,105.372,16.478,132.716,165.365,16.394,118.661,10.000,10.000
"Blue light of wavelength 480 nanometers is most strongly reflected off a thin film of oil on a glass slide when viewed near normal incidence. Assuming that the index of refraction of the oil is 1.2 and that of the glass is 1.6, what is the minimum thickness of the oil film in nanometers (other than zero) ?",84.418,387.297,238.452,562.065,200.000,60.688,476.206,538.285,383.945,569.649,200.000
An object is placed 100 cm from a plane mirror. How far is the image from the object in centimeters?,421.441,188.075,74.527,346.031,308.722,10.590,200.000,371.546,15.858,263.573,200.000
A rod measures 1.00 m in its rest system. How fast must an observer move parallel to the rod to measure its length to be 0.80 m? Provide answer in units of the speed of light c.,0.291,0.855,0.545,0.691,0.898,0.311,0.837,1.010,0.368,0.600,0.600
"A particle decays in 2.0 ms in its rest frame. If the same particle moves at v=0.60c in the lab frame, how far will it travel in meters in the lab before decaying?",72.776,529.159,141.669,97.980,110.899,485.026,609.761,187.344,669.310,450.000,450.000
A tube of water is traveling at 1/2 c relative to the lab frame when a beam of light traveling in the same direction as the tube enters it. The index of refraction of water is 4/3. What is the speed of light in the water relative to the lab frame? Provide answer in units of the speed of light c.,0.187,0.983,1.216,1.051,1.003,0.913,1.210,1.224,0.486,0.910,0.910
The rest mass of a particle in units of GeV/(c^2) with total energy 5.0 GeV and momentum 4.9 GeV/c is approximately,0.359,1.428,0.883,0.299,1.000,0.247,0.995,0.163,1.336,0.113,1.000
"Two spaceships approach Earth with equal speeds, as measured by an observer on Earth, but from opposite directions. A meterstick on one spaceship is measured to be 60 cm long by an occupant of the other spaceship. What is the speed of each spaceship, as measured by the observer on Earth? Provide answer in units of the speed of light c.",0.500,0.909,0.848,0.692,0.231,0.517,0.253,0.492,0.904,0.227,0.500
"An observer O at rest midway between two sources of light at x = 0 and x = 10 m observes the two sources to flash simultaneously. According to a second observer O', moving at a constant speed parallel to the x-axis, one source of light flashes 13 ns before the other. Which of the following Provides the speed of O' relative to O? Provide answer in units of the speed of light c.",0.088,0.780,0.766,0.808,0.297,0.322,0.849,0.387,0.548,0.360,0.360
