question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,correct_answer
"Assume that the solar flux at Earth's surface is 1,000 W/m^2 and that the sunlight is normal to a completely reflecting surface with an area of 3 m^2. What is the total radiation force in Newtons exerted on the surface?",4.593831,0.056225,4.495717,2.855566,4.005205,4.949994,4.759138,3.680307,1.496211,0.932023,5.175281,4.840075,3.480811,0.000020,0.274745,3.991060,2.815926,0.671819,4.513439,0.330502,0.000020
"An astronaut lands on a planet whose mass and radius are each twice that of Earth. If the astronaut weighs 800 N on Earth, how much will he weigh in Newtons on this planet?",2386.6734,573.3033,1909.3409,606.9950,1382.5935,400.0000,286.0565,1275.3713,1936.0395,1543.4771,1838.1892,1343.8339,499.0904,725.1726,692.7116,1902.9331,2076.8908,2242.0357,689.6203,1778.2974,400.0000
"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength in nanometers is:",669.2952,402.9996,562.7743,714.2024,453.6848,594.7314,676.2430,751.2999,382.0079,739.6906,745.3703,472.4809,604.7663,503.7389,600.0000,504.6616,492.3221,639.9665,570.9640,496.3688,600.0000
"Light from a laser falls on a pair of very narrow slits separated by 0.5 micrometer, and bright fringes separated by 1.0 millimeter are observed on a distant screen. If the frequency of the laser light is doubled, what will be the separation of the bright fringes in millimeters?",1.5869,2.2112,0.2175,0.8157,0.2891,2.3408,1.9930,3.1809,1.5988,2.3827,1.0165,2.5458,2.3903,0.2520,1.0716,2.7070,2.2537,0.5000,1.6583,2.5457,0.5000
"A gas cell with an optical path length of 10 cm is placed in one arm of a Michelson interferometer. If the light source for the interferometer is a laser with wavelength 632.2 nm, then 100 fringes are counted as the gas cell is evacuated. What is the index of refraction of the original gas?",0.99973,0.99943,0.99967,0.99980,1.00029,1.00073,1.00128,0.99950,1.00109,0.99932,0.99986,1.00062,0.99929,0.99913,1.00032,1.00084,1.00076,0.99961,0.99947,1.00003,1.00032
"Under certain conditions, a beam of electrons impinging on a crystal surface will diffract and a scattering pattern of the beam can be obtained. Assume the lattice spacing of the crystal to be 0.4 nm. What is the approximate kinetic energy of the electrons in electron-volts needed in order to see the pattern?",45.6967,10.0000,140.1014,81.3586,151.5356,145.1030,19.7875,146.5455,2.6998,87.0484,80.8678,90.9270,71.8515,8.5162,144.0047,82.5210,56.5677,37.6217,123.2605,2.9810,10.0000
"Blue light of wavelength 480 nanometers is most strongly reflected off a thin film of oil on a glass slide when viewed near normal incidence. Assuming that the index of refraction of the oil is 1.2 and that of the glass is 1.6, what is the minimum thickness of the oil film in nanometers (other than zero) ?",78.8689,41.6633,78.1409,164.0268,288.0670,176.6396,165.6516,291.3004,527.6251,149.7928,200.0000,251.4977,470.6935,256.4188,280.2263,165.3117,391.8740,502.4912,405.2050,246.9582,200.0000
An object is placed 100 cm from a plane mirror. How far is the image from the object in centimeters?,287.5658,180.2347,39.8403,278.0687,152.1326,391.6722,234.6212,200.0000,16.2443,37.2406,194.0896,230.5637,331.8371,61.1418,212.8681,66.3991,124.1219,424.7572,74.7269,245.6753,200.0000
A rod measures 1.00 m in its rest system. How fast must an observer move parallel to the rod to measure its length to be 0.80 m? Provide answer in units of the speed of light c.,0.2807,0.5987,0.3234,0.9266,0.9115,0.8090,0.8702,0.5049,0.6287,0.8083,0.7555,0.3478,0.7822,0.3575,0.7229,0.3499,0.2894,0.6000,0.5229,0.9072,0.6000
"A particle decays in 2.0 ms in its rest frame. If the same particle moves at v=0.60c in the lab frame, how far will it travel in meters in the lab before decaying?",218.6190,497.1267,525.9937,416.8641,450.0000,358.6463,125.4161,36.8651,6.7186,304.9748,609.0940,10.7788,352.7126,343.6206,322.9095,149.0817,636.6685,559.9164,7.2765,158.0812,450.0000
A tube of water is traveling at 1/2 c relative to the lab frame when a beam of light traveling in the same direction as the tube enters it. The index of refraction of water is 4/3. What is the speed of light in the water relative to the lab frame? Provide answer in units of the speed of light c.,0.3325,0.7891,0.7286,0.6435,1.0583,1.0444,0.4008,0.2315,0.9112,0.3356,0.9100,0.4283,0.6800,0.2027,1.0747,0.2835,0.8840,0.7949,1.2480,0.6782,0.9100
The rest mass of a particle in units of GeV/(c^2) with total energy 5.0 GeV and momentum 4.9 GeV/c is approximately,1.0000,1.4998,0.9272,0.8049,0.3531,0.3260,0.4907,0.4688,1.3768,0.8408,0.5797,0.3116,0.1993,0.1855,1.2614,0.9481,1.6149,1.3782,1.4351,1.0632,1.0000
"Two spaceships approach Earth with equal speeds, as measured by an observer on Earth, but from opposite directions. A meterstick on one spaceship is measured to be 60 cm long by an occupant of the other spaceship. What is the speed of each spaceship, as measured by the observer on Earth? Provide answer in units of the speed of light c.",0.5682,0.8555,0.4864,0.3546,0.5610,0.3036,0.5000,0.5321,0.2872,0.8752,0.4270,0.7916,0.3850,0.7644,0.8300,0.5845,0.4608,0.9021,0.4141,0.6051,0.5000
"An observer O at rest midway between two sources of light at x = 0 and x = 10 m observes the two sources to flash simultaneously. According to a second observer O', moving at a constant speed parallel to the x-axis, one source of light flashes 13 ns before the other. Which of the following Provides the speed of O' relative to O? Provide answer in units of the speed of light c.",0.3600,0.8207,0.7452,0.6746,0.1411,0.8103,0.0169,0.2768,0.6921,0.1795,0.5279,0.7033,0.4856,0.1047,0.3953,0.4736,0.3327,0.0292,0.5016,0.2720,0.3600
